シーズン,話,国,店名,ハングル店名,エリア,紹介料理,看板メニュー,営業時間,定休日,口コミ,住所,韓国住所,Googleマップ,Naverマップ
S1,1,日本,中華家庭料理 羊 2号店,,東京・池袋,タンタン麺・バンサンス・餃子,汁なし担々麺 800円 / 皮も手作り焼餃子(6個) 590円 / 水餃子(6個) 490円 / 麻婆豆腐,"平日 11:30-15:00(L.O.14:30), 17:30-23:30(L.O.22:30) / 土日 11:30-23:30(L.O.22:30) ※要確認",無休,"★3.49(食べログ/1,700件超) / 番組では「羊」表記だが実店舗は中国家庭料理『楊(ヤン)2号店』(西池袋3-25-5、同一住所)。孤独のグルメの聖地。本場四川の汁なし担々麺が名物で山椒たっぷりの激辛と高評価、行列必至。",東京都豊島区西池袋3-25-5,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86%20%E7%BE%8A%202%E5%8F%B7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E8%A5%BF%E6%B1%A0%E8%A2%8B3-25-5,
S1,2,日本,House of Flavors,,神奈川・鎌倉,チーズケーキ,"チーズケーキ Sサイズ 約7,000円 / チーズケーキ Lサイズ 約16,000円",11:00-17:00(L.O.16:00) ※要確認(喫茶は週末中心・完全予約制),水曜,★3.65(食べログ/372件) / 「日本一高いチーズケーキ」として有名。鎌倉山の一軒家、完全予約制。濃厚でなめらかと絶賛され、わざわざ訪れる名店との声多数。,神奈川県鎌倉市鎌倉山3-2-10,,https://www.google.com/maps/search/?api=1&query=House%20of%20Flavors%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%8E%8C%E5%80%89%E5%B1%B13-2-10,
S1,3,日本,焼肉ジンギスカン つるや,,神奈川・川崎,ジンギスカン,"ジンギスカン 約990円 / カルビ 約900円 / 霜降りロース 約1,350円 / シビレ 約630円",18:00-21:30(L.O.20:50) ※要確認,火曜(※木曜も休みとの情報あり・要確認),★3.65(食べログ/389件) / 50年以上続く川崎の老舗、孤独のグルメ(season1)登場店。レトロな雰囲気とタレ・キャベツが名物。羊肉のジンギスカンがボリューム満点と高評価。現金のみ。,神奈川県川崎市川崎区日進町19-7,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%82%B8%E3%83%B3%E3%82%AE%E3%82%B9%E3%82%AB%E3%83%B3%20%E3%81%A4%E3%82%8B%E3%82%84%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%B7%9D%E5%B4%8E%E5%8C%BA%E6%97%A5%E9%80%B2%E7%94%BA19-7,
S1,4,日本,焼き鳥 取（toritaka）,,東京・世田谷,焼き鳥コース,"おまかせ焼き鳥コース 6,000円～8,000円目安 / 希少部位の串焼き各種",火～土 17:00-23:00(L.O.22:00) ※2026/4より改装で当面休業の情報あり・要確認,月曜・日曜,★3.46(食べログ/346件) / 二子玉川『酉たか』。希少部位を揃え備長炭で焼く職人技が光る焼鳥店。コース1名1オーダー制。質の高い串と評価高いが、改装休業の可能性あり要確認。,東京都世田谷区玉川3-21-21,,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E3%81%8D%E9%B3%A5%20%E5%8F%96%EF%BC%88toritaka%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%8E%89%E5%B7%9D3-21-21,
S1,5,日本,Cafe & Restaurant Marlowe,,神奈川・横須賀,自家製プリン,自家製ビーカー入り焼きプリン / 渡りガニのスパゲティ / 地産地消イタリアンコース,"平日 ランチ11:00-14:00(L.O.), ディナー17:15-19:00(L.O.), 喫茶11:00-16:00 / 土日祝 ランチ11:00-14:00(L.O.), ディナー17:15-19:30(L.O.) ※要確認",金曜,情報なし(食べログ点数未確認) / 1984年創業のマーロウ秋谷本店。ビーカー入り手作り焼きプリン発祥の地として有名。地元の魚介・野菜を使う地産地消イタリアンも人気。海沿いの絶景カフェと好評。,神奈川県横須賀市秋谷3-6-27,,https://www.google.com/maps/search/?api=1&query=Cafe%20%26%20Restaurant%20Marlowe%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E9%A0%88%E8%B3%80%E5%B8%82%E7%A7%8B%E8%B0%B73-6-27,
S1,6,日本,珉亭（みんてい）,,東京・下北沢,江戸湖ラーメン・赤いチャーハン,赤いチャーハン / ラーメン / ラーチャン(ラーメン+半チャーハンセット) / 餃子,11:30-23:30 ※要確認,月曜(祝日の場合は翌火曜),"★3.49(食べログ/約1,976件・中国料理百名店2023選出) / 1964年創業の下北沢の老舗町中華。食紅で赤く染めたチャーシューによる名物『赤いチャーハン』が看板。松重豊・甲本ヒロトのバイト先としても有名。昭和レトロな雰囲気と安さで人気、予算～999円。",東京都世田谷区北沢2-8-8,,https://www.google.com/maps/search/?api=1&query=%E7%8F%89%E4%BA%AD%EF%BC%88%E3%81%BF%E3%82%93%E3%81%A6%E3%81%84%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A22-8-8,
S1,10,日本,唐戸市場,,山口・下関,市場の海産物各種,ふぐ(河豚)の握り / 新鮮な海鮮丼 / その日水揚げの寿司各種,"市場 月～土 5:00-15:00, 日祝 8:00-15:00 / 活きいき馬関街 金土 10:00-15:00, 日祝 8:00-15:00 ※要確認",水曜(不定休)・お盆・年始,"★3.57(食べログ/活きいき馬関街・1,023件) / 下関・関門海峡の海鮮テーマパーク的市場。週末・祝日の名物イベント『活きいき馬関街』では市場内の寿司店が競い、ふぐの握りや大ぶりで新鮮なネタを安く食べられると高評価。予算1,000～3,000円目安。",山口県下関市唐戸町5-50,,https://www.google.com/maps/search/?api=1&query=%E5%94%90%E6%88%B8%E5%B8%82%E5%A0%B4%20%E5%B1%B1%E5%8F%A3%E7%9C%8C%E4%B8%8B%E9%96%A2%E5%B8%82%E5%94%90%E6%88%B8%E7%94%BA5-50,
S1,11,日本,蜂楽饅頭,,福岡・西新,蜂楽饅頭,蜂楽饅頭(黒あん) 110円 / 蜂楽饅頭(白あん) 110円,10:00-18:00頃(売り切れ次第閉店) ※要確認,火曜,情報なし(食べログ点数未確認) / 福岡・西新中央商店街の老舗今川焼(大判焼)店。国産純はちみつ使用の生地に黒あん・白あんが選べる。地元で長年愛される名物、焼きたてが人気。,福岡県福岡市早良区西新4-9-18,,https://www.google.com/maps/search/?api=1&query=%E8%9C%82%E6%A5%BD%E9%A5%85%E9%A0%AD%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%97%A9%E8%89%AF%E5%8C%BA%E8%A5%BF%E6%96%B04-9-18,
S1,11,日本,稲葉うどん 渡辺通店,,福岡・渡辺通,うどん,ごぼう天うどん 480円 / 丸天うどん 約620円,月～金 11:00-21:00 / 土日祝 11:00-20:00 ※要確認,年始のみ(ほぼ無休),★3.34(食べログ/339件) / 番組表記は「稲葉うどん」だが実店舗は博多うどんの老舗『因幡うどん 渡辺通店』(渡辺通2-3-1・同一住所)。柔らかい博多うどんとごぼう天が看板でリーズナブル(～999円)。県民ソウルフードとして名店4選に選ばれる人気店。,福岡県福岡市中央区渡辺通2-3-1,,https://www.google.com/maps/search/?api=1&query=%E7%A8%B2%E8%91%89%E3%81%86%E3%81%A9%E3%82%93%20%E6%B8%A1%E8%BE%BA%E9%80%9A%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%A1%E8%BE%BA%E9%80%9A2-3-1,
S1,7,韓国,ブイル炭火カルビ,부일갈비,ソウル・永登浦区,豚カルビ,"テジカルビ（豚カルビ）1人前 約19,000ウォン（300g） / 껍데기（皮）※肉を食べ終えてから注文するとサービス提供",月・水・木 16:30-22:00／金・土・日 11:30-22:00（14:30-16:30休憩）※要確認,火曜,다이닝코드4.5点(34件)/ダコ点数90点。味4.8・価格4.5・接客4.8と高評価で『껍데기やゲジャンのサービスが嬉しい』『コスパ良し』。Netflix『隣の国のグルメイト』7話登場。行列必至が難点。,ソウル永登浦区永中路6ギル23-8,서울특별시 영등포구 영중로6길 23-8,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%82%A4%E3%83%AB%E7%82%AD%E7%81%AB%E3%82%AB%E3%83%AB%E3%83%93%20%E3%82%BD%E3%82%A6%E3%83%AB%E6%B0%B8%E7%99%BB%E6%B5%A6%E5%8C%BA%E6%B0%B8%E4%B8%AD%E8%B7%AF6%E3%82%AE%E3%83%AB23-8,https://map.naver.com/p/search/%EB%B6%80%EC%9D%BC%EA%B0%88%EB%B9%84
S1,8,韓国,ピルドンミョノク（必洞麺屋）,필동면옥,ソウル・中区,冷麺,"冷麺（平壌冷麺）15,000ウォン / ビビン冷麺 / 수육（ゆで肉）30,000ウォン / 餃子 15,000ウォン",11:00-20:20（15:00-17:00頃 ブレイクタイム）※要確認,日曜（旧正月・秋夕などの連休も休み）,1985年創業の老舗平壌冷麺専門店。2026年ミシュランガイド ソウル ビブグルマン選出。松重豊が『これぞ本場』と評した澄んだ冷麺スープが看板。『隣の国のグルメイト』8話登場。,ソウル中区必洞3街1-5,서울특별시 중구 서애로 26 (필동3가 1-5),https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%AB%E3%83%89%E3%83%B3%E3%83%9F%E3%83%A7%E3%83%8E%E3%82%AF%EF%BC%88%E5%BF%85%E6%B4%9E%E9%BA%BA%E5%B1%8B%EF%BC%89%20%E3%82%BD%E3%82%A6%E3%83%AB%E4%B8%AD%E5%8C%BA%E5%BF%85%E6%B4%9E3%E8%A1%971-5,https://map.naver.com/p/search/%ED%95%84%EB%8F%99%EB%A9%B4%EC%98%A5
S1,9,韓国,薬水市場,약수시장,ソウル・中区,もち米ドーナツ・コロッケ・クルミ菓子,"クルミ菓子（ホドゥグァジャ／호두까기호두과자 약수점）21個入1箱7,000ウォン・バラ12個4,000ウォン / もち米ドーナツ（チャプサルトーナツ） / コロッケ",店舗により異なる（市場の在来店舗、概ね日中〜夕方）※要確認,情報なし（市場全体の定休日不明、店舗ごとに異なる）,1968年開設の在来市場（薬水駅すぐ南東）。『隣の国のグルメイト』街角スイーツ編でソン・シギョンと松重豊が食べ歩き。クルミ菓子は焼きたてが人気で売り切れ続出、松重豊がもち米ドーナツを気に入ったと紹介。市場のため統一スコアなし。,ソウル中区 薬水市場,서울특별시 중구 신당동 (약수역 인근),https://www.google.com/maps/search/?api=1&query=%E8%96%AC%E6%B0%B4%E5%B8%82%E5%A0%B4%20%E3%82%BD%E3%82%A6%E3%83%AB%E4%B8%AD%E5%8C%BA%20%E8%96%AC%E6%B0%B4%E5%B8%82%E5%A0%B4,https://map.naver.com/p/search/%EC%95%BD%EC%88%98%EC%8B%9C%EC%9E%A5
